,app,F1_10,F1_5,F1_all,P_10,P_5,recall_10,recall_5
0,Inspec_TopicalPageRank.out,0.226000 bl ,0.173400 bl ,0.173400 bl ,0.272400 bl ,0.318400 bl ,0.205600 bl ,0.125600 bl 
1,Inspec_TextRank.out,0.123400 ▼ ,0.097400 ▼ ,0.097400 ▼ ,0.140800 ▼ ,0.177600 ▼ ,0.102000 ▼ ,0.068900 ▼ 
2,Inspec_EmbedRankSentenceUSE.out,0.235500 ▲ ,0.188500 ▲ ,0.188500 ▲ ,0.286300 ▲ ,0.350900 ▲ ,0.212300 ▲ ,0.135400 ▲ 
3,Inspec_EmbedRankSentenceBERT.out,0.223600   ,0.176600   ,0.176600   ,0.272000   ,0.331200 ᐃ ,0.201300 ᐁ ,0.126700   
4,Inspec_EmbedRank.out,0.225900   ,0.177300   ,0.177300   ,0.273200   ,0.333500 ▲ ,0.203400   ,0.126900   
5,Inspec_CoTagRankUSE.out,0.238300 ▲ ,0.188800 ▲ ,0.188800 ▲ ,0.288800 ▲ ,0.349800 ▲ ,0.215400 ▲ ,0.136100 ▲ 
