,app,F1_10,F1_5,F1_all,P_10,P_5,recall_10,recall_5
0,SemEval2017_SingleRank.out,0.246600 bl ,0.169700 bl ,0.169700 bl ,0.339800 bl ,0.372400 bl ,0.202500 bl ,0.113800 bl 
1,SemEval2017_TopicalPageRank.out,0.253500 ▲ ,0.175900 ᐃ ,0.175900 ᐃ ,0.349300 ▲ ,0.386200 ᐃ ,0.208100 ᐃ ,0.117900 ᐃ 
2,SemEval2017_TextRank.out,0.132300 ▼ ,0.091100 ▼ ,0.091100 ▼ ,0.184000 ▼ ,0.206100 ▼ ,0.106200 ▼ ,0.060500 ▼ 
3,SemEval2017_EmbedRankSentenceUSE.out,0.255700   ,0.179900 ᐃ ,0.179900 ᐃ ,0.349100   ,0.394700 ᐃ ,0.208400   ,0.120400 ᐃ 
4,SemEval2017_CoTagRankUSE.out,0.278500 ▲ ,0.197900 ▲ ,0.197900 ▲ ,0.384200 ▲ ,0.436900 ▲ ,0.228100 ▲ ,0.132600 ▲ 
5,SemEval2017_EmbedRankSentenceBERT.out,0.242600   ,0.174700   ,0.174700   ,0.333900   ,0.382200   ,0.198700   ,0.117200   
6,SemEval2017_EmbedRank.out,0.219500 ▼ ,0.155000 ▼ ,0.155000 ▼ ,0.305500 ▼ ,0.343600 ▼ ,0.179900 ▼ ,0.103500 ▼ 
