,app,F1_10,F1_5,F1_all,P_10,P_5,recall_10,recall_5
0,SemEval2017_TopicalPageRank.out,0.254300 bl ,0.175900 bl ,0.175900 bl ,0.352300 bl ,0.386200 bl ,0.209800 bl ,0.117900 bl 
1,SemEval2017_TextRank.out,0.132600 ▼ ,0.091100 ▼ ,0.091100 ▼ ,0.184800 ▼ ,0.206100 ▼ ,0.106900 ▼ ,0.060500 ▼ 
2,SemEval2017_EmbedRankSentenceUSE.out,0.258200   ,0.179900   ,0.179900   ,0.356000   ,0.394700   ,0.213300   ,0.120400   
3,SemEval2017_EmbedRankSentenceBERT.out,0.244100   ,0.174700   ,0.174700   ,0.337300 ᐁ ,0.382200   ,0.201400   ,0.117200   
4,SemEval2017_EmbedRank.out,0.219500 ▼ ,0.155000 ▼ ,0.155000 ▼ ,0.306100 ▼ ,0.343600 ▼ ,0.180100 ▼ ,0.103500 ▼ 
5,SemEval2017_CoTagRankUSE.out,0.280300 ▲ ,0.197900 ▲ ,0.197900 ▲ ,0.389500 ▲ ,0.436900 ▲ ,0.231000 ▲ ,0.132600 ▲ 
