,app,F1_10,F1_5,F1_all,P_10,P_5,recall_10,recall_5
0,ExtraMarkShort_TopicalPageRank.out,0.497500 bl ,0.446600 bl ,0.446600 bl ,0.300700 bl ,0.448600 bl ,0.582200 bl ,0.452300 bl 
1,ExtraMarkShort_TextRank.out,0.227200 ▼ ,0.222200 ▼ ,0.222200 ▼ ,0.095800 ▼ ,0.181900 ▼ ,0.172600 ▼ ,0.167100 ▼ 
2,ExtraMarkShort_EmbedRankSentenceUSE.out,0.528600 ▲ ,0.527100 ▲ ,0.527100 ▲ ,0.347200 ▲ ,0.540300 ▲ ,0.649400 ▲ ,0.526500 ▲ 
3,ExtraMarkShort_EmbedRankSentenceBERT.out,0.525200 ▲ ,0.491700 ▲ ,0.491700 ▲ ,0.343100 ▲ ,0.495800 ▲ ,0.647200 ▲ ,0.494600 ▲ 
4,ExtraMarkShort_EmbedRank.out,0.512600   ,0.449500   ,0.449500   ,0.322200 ▲ ,0.451400   ,0.605100   ,0.444800   
5,ExtraMarkShort_CoTagRankUSE.out,0.538000 ▲ ,0.546500 ▲ ,0.546500 ▲ ,0.350000 ▲ ,0.558300 ▲ ,0.654300 ▲ ,0.545300 ▲ 
